team_key,espn_teams,odds_teams
Boavista,Boavista,Boavista Porto
Boca Juniors,Boca Juniors,Boca Juniors
Boca Juniors de Cali,Boca Juniors de Cali,
Bodo/Glimt,Bodo/Glimt,
Bodrum FK,Bodrum FK,Bodrum FK
Bogotá FC,Bogotá FC,
Bolívar,Bolívar,
Bolivia,Bolivia,
Bologna,Bologna,Bologna
Bolonia,Bolonia,Bologna
Bolton Wanderers,Bolton Wanderers,Bolton Wanderers
Bonaire,Bonaire,
Borussia Dortmund,Borussia Dortmund,Borussia Dortmund
Borussia Monchengladbach,Borussia Monchengladbach,Borussia Monchengladbach
Bosnia and Herzegovina,Bosnia and Herzegovina,
Boston River,Boston River,
Botafogo,Botafogo,Botafogo
Botafogo S20,Botafogo S20,
Botafogo SP,Botafogo SP,
Boyacá Chicó,Boyacá Chicó,
Bradford City,Bradford City,Bradford City
Braga,Braga,Braga
Bragantino S20,Bragantino S20,
Brasil,Brasil,
Brazil,Brazil,
Bremer SV,Bremer SV,
Brentford,Brentford,Brentford
Brescia,Brescia,Brescia
Brest,Brest,Brest
Brighton & Hove Albion,Brighton & Hove Albion,Brighton and Hove Albion
Bristol City,Bristol City,Bristol City
Bristol Rovers,Bristol Rovers,Bristol Rovers
British Virgin Islands,British Virgin Islands,
Bromley,Bromley,Bromley FC
Brown (Adrogué),Brown (Adrogué),
Brunei Darussalam,Brunei Darussalam,
Brusque,Brusque,Brusque FC
Bucaramanga,Bucaramanga,
Bulgaria,Bulgaria,
Burgos,Burgos,Burgos CF
Buriram United,Buriram United,
Burnley,Burnley,Burnley
Burton Albion,Burton Albion,Burton Albion
C.D. Nacional,C.D. Nacional,Nacional
C.D.Real Sociedad,C.D.Real Sociedad,
CA La Paz,CA La Paz,
Cacahuatique,Cacahuatique,
Cádiz,Cádiz,Cádiz CF
Caen,Caen,Caen
Cagliari,Cagliari,Cagliari
Cambaceres,Cambaceres,
Cambodia,Cambodia,
Cambridge United,Cambridge United,Cambridge United
Canada,Canada,
Cancún FC,Cancún FC,
Cangzhou Mighty Lions,Cangzhou Mighty Lions,Cangzhou Mighty Lions
Cañuelas,Cañuelas,
Cape Town City,Cape Town City,
Cape Town Spurs FC,Cape Town Spurs FC,
Carabobo,Carabobo,
Caracas FC,Caracas FC,
