,League,Round,Week,Year,Date,Local,Visitor,Goalslocal,Goalsvisitor,Result
0,england,,52,2022,2022-01-01,Arsenal,Manchester City,1,2,v
1,england,,52,2022,2022-01-01,Crystal Palace,West Ham Utd,2,3,v
2,england,,52,2022,2022-01-01,Watford,Tottenham,0,1,v
3,england,,52,2022,2022-01-02,Brentford,Aston Villa,2,1,l
4,england,,52,2022,2022-01-02,Chelsea,Liverpool,2,2,t
5,england,,52,2022,2022-01-02,Everton,Brighton,2,3,v
6,england,,52,2022,2022-01-02,Leeds Utd,Burnley,3,1,l
7,portugal,,52,2022,2022-01-02,Vizela,Belenenses,2,0,l
8,spain,,52,2022,2022-01-02,Alaves,Real Sociedad,1,1,t
9,spain,,52,2022,2022-01-02,Atletico Madrid,Rayo Vallecano,2,0,l
10,spain,,52,2022,2022-01-02,Elche,Granada,0,0,t
11,spain,,52,2022,2022-01-02,Getafe,Real Madrid,1,0,l
12,spain,,52,2022,2022-01-02,Mallorca,FC Barcelona,0,1,v
13,spain,,52,2022,2022-01-02,Real Betis,Celta Vigo,0,2,v
14,england,,1,2022,2022-01-03,Manchester Utd,Wolverhampton,0,1,v
15,portugal,,1,2022,2022-01-03,Tondela,Moreirense,2,1,l
16,spain,,1,2022,2022-01-03,Cadiz,Sevilla FC,0,1,v
17,spain,,1,2022,2022-01-03,Osasuna,Athletic Bilbao,1,3,v
18,spain,,1,2022,2022-01-03,Villarreal,Levante,5,0,l
19,italy,,1,2022,2022-01-06,AC Milan,AS Roma,3,1,l
20,italy,,1,2022,2022-01-06,Juventus,Napoli,1,1,t
21,italy,,1,2022,2022-01-06,Lazio,Empoli,3,3,t
22,italy,,1,2022,2022-01-06,Sampdoria,Cagliari,1,2,v
23,italy,,1,2022,2022-01-06,Sassuolo,Genoa,1,1,t
24,italy,,1,2022,2022-01-06,Spezia,Hellas Verona,1,2,v
25,france,,1,2022,2022-01-07,Bordeaux,Marseille,0,1,v
26,germany,,1,2022,2022-01-07,Bayern Munich,Monchengladbach,1,2,v
27,portugal,,1,2022,2022-01-07,Santa Clara,Sporting CP,3,2,l
28,france,,1,2022,2022-01-08,Lens,Rennes,1,0,l
29,germany,,1,2022,2022-01-08,E. Frankfurt,Dortmund,2,3,v
30,germany,,1,2022,2022-01-08,Freiburg,Bielefeld,2,2,t
31,germany,,1,2022,2022-01-08,Greuther Furth,Stuttgart,0,0,t
32,germany,,1,2022,2022-01-08,Hoffenheim,FC Augsburg,3,1,l
33,germany,,1,2022,2022-01-08,Leverkusen,Union Berlin,2,2,t
34,germany,,1,2022,2022-01-08,RB Leipzig,FSV Mainz,4,1,l
35,portugal,,1,2022,2022-01-08,Boavista,Tondela,1,1,t
36,portugal,,1,2022,2022-01-08,Estoril,FC Porto,2,3,v
37,portugal,,1,2022,2022-01-08,Vizela,Moreirense,0,1,v
38,spain,,1,2022,2022-01-08,Granada,FC Barcelona,1,1,t
39,spain,,1,2022,2022-01-08,Levante,Mallorca,2,0,l
40,spain,,1,2022,2022-01-08,Real Madrid,Valencia,4,1,l
41,spain,,1,2022,2022-01-08,Real Sociedad,Celta Vigo,1,0,l
42,france,,1,2022,2022-01-09,Brest,Nice,0,3,v
43,france,,1,2022,2022-01-09,Clermont,Reims,0,0,t
44,france,,1,2022,2022-01-09,Lyon,Paris SG,1,1,t
45,france,,1,2022,2022-01-09,Metz,Strasbourg,0,2,v
46,france,,1,2022,2022-01-09,Nantes,Monaco,0,0,t
47,germany,,1,2022,2022-01-09,Bochum,Wolfsburg,1,0,l
48,germany,,1,2022,2022-01-09,Hertha Berlin,FC Koln,1,3,v
49,italy,,1,2022,2022-01-09,AS Roma,Juventus,3,4,v
50,italy,,1,2022,2022-01-09,Empoli,Sassuolo,1,5,v
51,italy,,1,2022,2022-01-09,Genoa,Spezia,0,1,v
52,italy,,1,2022,2022-01-09,Hellas Verona,Salernitana,1,2,v
53,italy,,1,2022,2022-01-09,Inter Milan,Lazio,2,1,l
54,italy,,1,2022,2022-01-09,Napoli,Sampdoria,1,0,l
55,italy,,1,2022,2022-01-09,Udinese,Atalanta,2,6,v
56,italy,,1,2022,2022-01-09,Venezia,AC Milan,0,3,v
57,portugal,,1,2022,2022-01-09,Belenenses,Arouca,2,1,l
58,portugal,,1,2022,2022-01-09,Benfica,Pacos Ferreira,2,0,l
59,portugal,,1,2022,2022-01-09,Portimonense,Maritimo,1,2,v
60,portugal,,1,2022,2022-01-09,Sporting Braga,Famalicao,2,2,t
61,spain,,1,2022,2022-01-09,Alaves,Athletic Bilbao,0,0,t
62,spain,,1,2022,2022-01-09,Osasuna,Cadiz,2,0,l
63,spain,,1,2022,2022-01-09,Rayo Vallecano,Real Betis,1,1,t
64,spain,,1,2022,2022-01-09,Sevilla FC,Getafe,1,0,l
65,spain,,1,2022,2022-01-09,Villarreal,Atletico Madrid,2,2,t
66,italy,,2,2022,2022-01-10,Torino,Fiorentina,4,0,l
67,portugal,,2,2022,2022-01-10,Gil Vicente,Guimaraes,3,2,l
68,spain,,2,2022,2022-01-10,Espanyol,Elche,1,2,v
69,england,,2,2022,2022-01-11,Southampton,Brentford,4,1,l
70,italy,,2,2022,2022-01-11,Cagliari,Bologna,2,1,l
71,england,,2,2022,2022-01-12,West Ham Utd,Norwich City,2,0,l
72,portugal,,2,2022,2022-01-13,Famalicao,Belenenses,1,0,l
73,england,,2,2022,2022-01-14,Brighton,Crystal Palace,1,1,t
74,france,,2,2022,2022-01-14,Nice,Nantes,2,1,l
75,germany,,2,2022,2022-01-14,Dortmund,Freiburg,5,1,l
76,netherlands,,2,2022,2022-01-14,PEC Zwolle,Willem II,2,0,l
77,england,,2,2022,2022-01-15,Aston Villa,Manchester Utd,2,2,t
78,england,,2,2022,2022-01-15,Manchester City,Chelsea,1,0,l
79,england,,2,2022,2022-01-15,Newcastle Utd,Watford,1,1,t
80,england,,2,2022,2022-01-15,Norwich City,Everton,2,1,l
81,england,,2,2022,2022-01-15,Wolverhampton,Southampton,3,1,l
82,france,,2,2022,2022-01-15,Paris SG,Brest,2,0,l
83,france,,2,2022,2022-01-15,Saint-Etienne,Lens,1,2,v
84,germany,,2,2022,2022-01-15,FC Koln,Bayern Munich,0,4,v
85,germany,,2,2022,2022-01-15,FSV Mainz,Bochum,1,0,l
86,germany,,2,2022,2022-01-15,Monchengladbach,Leverkusen,1,2,v
87,germany,,2,2022,2022-01-15,Stuttgart,RB Leipzig,0,2,v
88,germany,,2,2022,2022-01-15,Union Berlin,Hoffenheim,2,1,l
89,germany,,2,2022,2022-01-15,Wolfsburg,Hertha Berlin,0,0,t
90,italy,,2,2022,2022-01-15,Juventus,Udinese,2,0,l
91,italy,,2,2022,2022-01-15,Salernitana,Lazio,0,3,v
92,italy,,2,2022,2022-01-15,Sampdoria,Torino,1,2,v
93,netherlands,,2,2022,2022-01-15,FC Twente,Heerenveen,2,0,l
94,netherlands,,2,2022,2022-01-15,Feyenoord,Vitesse Arnhem,0,1,v
95,netherlands,,2,2022,2022-01-15,Go Ahead Eagles,RKC Waalwijk,0,2,v
96,netherlands,,2,2022,2022-01-15,NEC Nijmegen,Heracles Almelo,0,0,t
97,portugal,,2,2022,2022-01-15,Benfica,Moreirense,1,1,t
98,portugal,,2,2022,2022-01-15,Boavista,Gil Vicente,1,1,t
99,portugal,,2,2022,2022-01-15,Sporting Braga,Maritimo,0,1,v
100,england,,2,2022,2022-01-16,Liverpool,Brentford,3,0,l
101,england,,2,2022,2022-01-16,West Ham Utd,Leeds Utd,2,3,v
102,france,,2,2022,2022-01-16,Lorient,Angers,0,0,t
103,france,,2,2022,2022-01-16,Marseille,Lille,1,1,t
104,france,,2,2022,2022-01-16,Monaco,Clermont,4,0,l
105,france,,2,2022,2022-01-16,Reims,Metz,0,1,v
106,france,,2,2022,2022-01-16,Rennes,Bordeaux,6,0,l
107,france,,2,2022,2022-01-16,Strasbourg,Montpellier,3,1,l
108,france,,2,2022,2022-01-16,Troyes,Lyon,0,1,v
109,germany,,2,2022,2022-01-16,Bielefeld,Greuther Furth,2,2,t
110,germany,,2,2022,2022-01-16,FC Augsburg,E. Frankfurt,1,1,t
111,italy,,2,2022,2022-01-16,AS Roma,Cagliari,1,0,l
112,italy,,2,2022,2022-01-16,Atalanta,Inter Milan,0,0,t
113,italy,,2,2022,2022-01-16,Sassuolo,Hellas Verona,2,4,v
114,italy,,2,2022,2022-01-16,Venezia,Empoli,1,1,t
115,netherlands,,2,2022,2022-01-16,Cambuur,Sparta,1,1,t
116,netherlands,,2,2022,2022-01-16,FC Groningen,PSV Eindhoven,0,1,v
117,netherlands,,2,2022,2022-01-16,FC Utrecht,Ajax Amsterdam,0,3,v
118,netherlands,,2,2022,2022-01-16,Fortuna Sittard,AZ Alkmaar,1,2,v
119,portugal,,2,2022,2022-01-16,Belenenses,FC Porto,1,4,v
120,portugal,,2,2022,2022-01-16,Famalicao,Pacos Ferreira,0,0,t
121,portugal,,2,2022,2022-01-16,Santa Clara,Tondela,2,2,t
122,portugal,,2,2022,2022-01-16,Vizela,Sporting CP,0,2,v
123,spain,,2,2022,2022-01-16,Elche,Villarreal,1,0,l
124,italy,,3,2022,2022-01-17,AC Milan,Spezia,1,2,v
125,italy,,3,2022,2022-01-17,Bologna,Napoli,0,2,v
126,italy,,3,2022,2022-01-17,Fiorentina,Genoa,6,0,l
127,portugal,,3,2022,2022-01-17,Portimonense,Guimaraes,1,1,t
128,england,,3,2022,2022-01-18,Brighton,Chelsea,1,1,t
129,spain,,3,2022,2022-01-18,Cadiz,Espanyol,2,2,t
130,spain,,3,2022,2022-01-18,Real Betis,Alaves,4,0,l
131,england,,3,2022,2022-01-19,Brentford,Manchester Utd,1,3,v
132,england,,3,2022,2022-01-19,Leicester City,Tottenham,2,3,v
133,france,,3,2022,2022-01-19,Clermont,Strasbourg,0,2,v
134,france,,3,2022,2022-01-19,Lille,Lorient,3,1,l
135,france,,3,2022,2022-01-19,Montpellier,Troyes,0,1,v
136,spain,,3,2022,2022-01-19,Celta Vigo,Osasuna,2,0,l
137,spain,,3,2022,2022-01-19,Valencia,Sevilla FC,1,1,t
138,spain,,3,2022,2022-01-20,Getafe,Granada,4,2,l
139,england,,3,2022,2022-01-21,Watford,Norwich City,0,3,v
140,france,,3,2022,2022-01-21,Lyon,Saint-Etienne,1,0,l
141,germany,,3,2022,2022-01-21,E. Frankfurt,Bielefeld,0,2,v
142,italy,,3,2022,2022-01-21,Hellas Verona,Bologna,2,1,l
143,portugal,,3,2022,2022-01-21,Arouca,Benfica,0,2,v
144,portugal,,3,2022,2022-01-21,Pacos Ferreira,Boavista,1,1,t
145,spain,,3,2022,2022-01-21,Espanyol,Real Betis,1,4,v
146,england,,3,2022,2022-01-22,Brentford,Wolverhampton,1,2,v
147,england,,3,2022,2022-01-22,Everton,Aston Villa,0,1,v
148,england,,3,2022,2022-01-22,Leeds Utd,Newcastle Utd,0,1,v
149,england,,3,2022,2022-01-22,Manchester Utd,West Ham Utd,1,0,l
150,england,,3,2022,2022-01-22,Southampton,Manchester City,1,1,t
151,france,,3,2022,2022-01-22,Brest,Lille,2,0,l
152,france,,3,2022,2022-01-22,Lens,Marseille,0,2,v
153,germany,,3,2022,2022-01-22,Bochum,FC Koln,2,2,t
154,germany,,3,2022,2022-01-22,Freiburg,Stuttgart,2,0,l
155,germany,,3,2022,2022-01-22,Greuther Furth,FSV Mainz,2,1,l
156,germany,,3,2022,2022-01-22,Hoffenheim,Dortmund,2,3,v
157,germany,,3,2022,2022-01-22,Leverkusen,FC Augsburg,5,1,l
158,germany,,3,2022,2022-01-22,Monchengladbach,Union Berlin,1,2,v
159,italy,,3,2022,2022-01-22,Genoa,Udinese,0,0,t
160,italy,,3,2022,2022-01-22,Inter Milan,Venezia,2,1,l
161,italy,,3,2022,2022-01-22,Lazio,Atalanta,0,0,t
162,netherlands,,3,2022,2022-01-22,AZ Alkmaar,Cambuur,0,0,t
163,netherlands,,3,2022,2022-01-22,Heerenveen,PEC Zwolle,0,1,v
164,netherlands,,3,2022,2022-01-22,Vitesse Arnhem,FC Groningen,1,3,v
165,netherlands,,3,2022,2022-01-22,Willem II,FC Twente,0,1,v
166,portugal,,3,2022,2022-01-22,Moreirense,Santa Clara,0,2,v
167,portugal,,3,2022,2022-01-22,Sporting CP,Sporting Braga,1,2,v
168,portugal,,3,2022,2022-01-22,Tondela,Vizela,2,3,v
169,spain,,3,2022,2022-01-22,Atletico Madrid,Valencia,3,2,l
170,spain,,3,2022,2022-01-22,Levante,Cadiz,0,2,v
171,spain,,3,2022,2022-01-22,Sevilla FC,Celta Vigo,2,2,t
172,spain,,3,2022,2022-01-22,Villarreal,Mallorca,3,0,l
173,england,,3,2022,2022-01-23,Arsenal,Burnley,0,0,t
174,england,,3,2022,2022-01-23,Chelsea,Tottenham,2,0,l
175,england,,3,2022,2022-01-23,Crystal Palace,Liverpool,1,3,v
176,england,,3,2022,2022-01-23,Leicester City,Brighton,1,1,t
177,france,,3,2022,2022-01-23,Angers,Troyes,2,1,l
178,france,,3,2022,2022-01-23,Bordeaux,Strasbourg,4,3,l
179,france,,3,2022,2022-01-23,Clermont,Rennes,2,1,l
180,france,,3,2022,2022-01-23,Metz,Nice,0,2,v
181,france,,3,2022,2022-01-23,Montpellier,Monaco,3,2,l
182,france,,3,2022,2022-01-23,Nantes,Lorient,4,2,l
183,france,,3,2022,2022-01-23,Paris SG,Reims,4,0,l
184,germany,,3,2022,2022-01-23,Hertha Berlin,Bayern Munich,1,4,v
185,germany,,3,2022,2022-01-23,RB Leipzig,Wolfsburg,2,0,l
186,italy,,3,2022,2022-01-23,AC Milan,Juventus,0,0,t
187,italy,,3,2022,2022-01-23,Cagliari,Fiorentina,1,1,t
188,italy,,3,2022,2022-01-23,Empoli,AS Roma,2,4,v
189,italy,,3,2022,2022-01-23,Napoli,Salernitana,4,1,l
190,italy,,3,2022,2022-01-23,Spezia,Sampdoria,1,0,l
191,italy,,3,2022,2022-01-23,Torino,Sassuolo,1,1,t
192,netherlands,,3,2022,2022-01-23,Heracles Almelo,Go Ahead Eagles,1,1,t
193,netherlands,,3,2022,2022-01-23,NEC Nijmegen,Feyenoord,1,4,v
194,netherlands,,3,2022,2022-01-23,PSV Eindhoven,Ajax Amsterdam,1,2,v
195,netherlands,,3,2022,2022-01-23,RKC Waalwijk,Fortuna Sittard,2,1,l
196,netherlands,,3,2022,2022-01-23,Sparta,FC Utrecht,0,3,v
197,portugal,,3,2022,2022-01-23,FC Porto,Famalicao,3,1,l
198,portugal,,3,2022,2022-01-23,Gil Vicente,Portimonense,1,0,l
199,portugal,,3,2022,2022-01-23,Guimaraes,Estoril,3,1,l
200,portugal,,3,2022,2022-01-23,Maritimo,Belenenses,1,1,t
201,spain,,3,2022,2022-01-23,Alaves,FC Barcelona,0,1,v
202,spain,,3,2022,2022-01-23,Granada,Osasuna,0,2,v
203,spain,,3,2022,2022-01-23,Rayo Vallecano,Athletic Bilbao,0,1,v
204,spain,,3,2022,2022-01-23,Real Madrid,Elche,2,2,t
205,spain,,3,2022,2022-01-23,Real Sociedad,Getafe,0,0,t
206,france,,4,2022,2022-01-26,Angers,Saint-Etienne,0,1,v
207,portugal,,4,2022,2022-01-27,Estoril,Arouca,1,2,v
208,portugal,,4,2022,2022-01-30,FC Porto,Maritimo,2,1,l
209,portugal,,4,2022,2022-01-30,Portimonense,Tondela,1,2,v
210,portugal,,4,2022,2022-01-30,Sporting Braga,Moreirense,2,0,l
211,portugal,,4,2022,2022-01-30,Vizela,Guimaraes,3,2,l
212,portugal,,5,2022,2022-01-31,Estoril,Pacos Ferreira,0,0,t
213,portugal,,5,2022,2022-01-31,Famalicao,Arouca,0,0,t
214,france,,5,2022,2022-02-01,Lyon,Marseille,2,1,l
215,portugal,,5,2022,2022-02-01,Santa Clara,Boavista,2,1,l
216,portugal,,5,2022,2022-02-02,Belenenses,Sporting CP,1,4,v
217,portugal,,5,2022,2022-02-02,Benfica,Gil Vicente,1,2,v
218,france,,5,2022,2022-02-04,Marseille,Angers,5,2,l
219,germany,,5,2022,2022-02-04,Hertha Berlin,Bochum,1,1,t
220,spain,,5,2022,2022-02-04,Getafe,Levante,3,0,l
221,england,,5,2022,2022-02-05,Burnley,Watford,0,0,t
222,france,,5,2022,2022-02-05,Monaco,Lyon,2,0,l
223,france,,5,2022,2022-02-05,Saint-Etienne,Montpellier,3,1,l
224,germany,,5,2022,2022-02-05,Bayern Munich,RB Leipzig,3,2,l
225,germany,,5,2022,2022-02-05,Bielefeld,Monchengladbach,1,1,t
226,germany,,5,2022,2022-02-05,FC Augsburg,Union Berlin,2,0,l
227,germany,,5,2022,2022-02-05,FC Koln,Freiburg,1,0,l
228,germany,,5,2022,2022-02-05,FSV Mainz,Hoffenheim,2,0,l
229,germany,,5,2022,2022-02-05,Stuttgart,E. Frankfurt,2,3,v
230,italy,,5,2022,2022-02-05,AS Roma,Genoa,0,0,t
231,italy,,5,2022,2022-02-05,Fiorentina,Lazio,0,3,v
232,italy,,5,2022,2022-02-05,Inter Milan,AC Milan,1,2,v
233,netherlands,,5,2022,2022-02-05,FC Twente,Vitesse Arnhem,3,0,l
234,netherlands,,5,2022,2022-02-05,FC Utrecht,Cambuur,3,2,l
235,netherlands,,5,2022,2022-02-05,Fortuna Sittard,Heerenveen,2,0,l
236,netherlands,,5,2022,2022-02-05,PEC Zwolle,NEC Nijmegen,1,1,t
237,netherlands,,5,2022,2022-02-05,PSV Eindhoven,AZ Alkmaar,1,2,v
238,portugal,,5,2022,2022-02-05,Guimaraes,Sporting Braga,2,1,l
239,portugal,,5,2022,2022-02-05,Maritimo,Estoril,0,0,t
240,portugal,,5,2022,2022-02-05,Pacos Ferreira,Portimonense,1,1,t
241,spain,,5,2022,2022-02-05,Celta Vigo,Rayo Vallecano,2,0,l
242,spain,,5,2022,2022-02-05,Elche,Alaves,3,1,l
243,spain,,5,2022,2022-02-05,Mallorca,Cadiz,2,1,l
244,spain,,5,2022,2022-02-05,Osasuna,Sevilla FC,0,0,t
245,france,,5,2022,2022-02-06,Lille,Paris SG,1,5,v
246,france,,5,2022,2022-02-06,Lorient,Lens,2,0,l
247,france,,5,2022,2022-02-06,Nice,Clermont,0,1,v
248,france,,5,2022,2022-02-06,Reims,Bordeaux,5,0,l
249,france,,5,2022,2022-02-06,Rennes,Brest,2,0,l
250,france,,5,2022,2022-02-06,Strasbourg,Nantes,1,0,l
251,france,,5,2022,2022-02-06,Troyes,Metz,0,0,t
252,germany,,5,2022,2022-02-06,Dortmund,Leverkusen,2,5,v
253,germany,,5,2022,2022-02-06,Wolfsburg,Greuther Furth,4,1,l
254,italy,,5,2022,2022-02-06,Atalanta,Cagliari,1,2,v
255,italy,,5,2022,2022-02-06,Bologna,Empoli,0,0,t
256,italy,,5,2022,2022-02-06,Juventus,Hellas Verona,2,0,l
257,italy,,5,2022,2022-02-06,Sampdoria,Sassuolo,4,0,l
258,italy,,5,2022,2022-02-06,Udinese,Torino,2,0,l
259,italy,,5,2022,2022-02-06,Venezia,Napoli,0,2,v
260,netherlands,,5,2022,2022-02-06,Ajax Amsterdam,Heracles Almelo,3,0,l
261,netherlands,,5,2022,2022-02-06,FC Groningen,Go Ahead Eagles,2,1,l
262,netherlands,,5,2022,2022-02-06,Feyenoord,Sparta,4,0,l
263,netherlands,,5,2022,2022-02-06,Willem II,RKC Waalwijk,3,1,l
264,portugal,,5,2022,2022-02-06,Arouca,FC Porto,0,2,v
265,portugal,,5,2022,2022-02-06,Boavista,Vizela,2,2,t
266,portugal,,5,2022,2022-02-06,Gil Vicente,Santa Clara,2,2,t
267,portugal,,5,2022,2022-02-06,Sporting CP,Famalicao,2,0,l
268,spain,,5,2022,2022-02-06,FC Barcelona,Atletico Madrid,4,2,l
269,spain,,5,2022,2022-02-06,Real Betis,Villarreal,0,2,v
270,spain,,5,2022,2022-02-06,Real Madrid,Granada,1,0,l
271,spain,,5,2022,2022-02-06,Valencia,Real Sociedad,0,0,t
272,italy,,6,2022,2022-02-07,Salernitana,Spezia,2,2,t
273,portugal,,6,2022,2022-02-07,Moreirense,Belenenses,4,1,l
274,portugal,,6,2022,2022-02-07,Tondela,Benfica,1,3,v
275,spain,,6,2022,2022-02-07,Athletic Bilbao,Espanyol,2,1,l
276,england,,6,2022,2022-02-08,Burnley,Manchester Utd,1,1,t
277,england,,6,2022,2022-02-08,Newcastle Utd,Everton,3,1,l
278,england,,6,2022,2022-02-08,West Ham Utd,Watford,1,0,l
279,england,,6,2022,2022-02-09,Aston Villa,Leeds Utd,3,3,t
280,england,,6,2022,2022-02-09,Manchester City,Brentford,2,0,l
281,england,,6,2022,2022-02-09,Norwich City,Crystal Palace,1,1,t
282,england,,6,2022,2022-02-09,Tottenham,Southampton,2,3,v
283,england,,6,2022,2022-02-10,Liverpool,Leicester City,2,0,l
284,england,,6,2022,2022-02-10,Wolverhampton,Arsenal,0,1,v
285,france,,6,2022,2022-02-11,Paris SG,Rennes,1,0,l
286,germany,,6,2022,2022-02-11,RB Leipzig,FC Koln,3,1,l
287,netherlands,,6,2022,2022-02-11,Heracles Almelo,FC Utrecht,1,0,l
288,portugal,,6,2022,2022-02-11,FC Porto,Sporting CP,2,2,t
289,spain,,6,2022,2022-02-11,Sevilla FC,Elche,2,0,l
290,england,,6,2022,2022-02-12,Brentford,Crystal Palace,0,0,t
291,england,,6,2022,2022-02-12,Everton,Leeds Utd,3,0,l
292,england,,6,2022,2022-02-12,Manchester Utd,Southampton,1,1,t
293,england,,6,2022,2022-02-12,Norwich City,Manchester City,0,4,v
294,england,,6,2022,2022-02-12,Watford,Brighton,0,2,v
295,france,,6,2022,2022-02-12,Lyon,Nice,2,0,l
296,france,,6,2022,2022-02-12,Montpellier,Lille,0,1,v
297,germany,,6,2022,2022-02-12,Bochum,Bayern Munich,4,2,l
298,germany,,6,2022,2022-02-12,E. Frankfurt,Wolfsburg,0,2,v
299,germany,,6,2022,2022-02-12,Freiburg,FSV Mainz,1,1,t
300,germany,,6,2022,2022-02-12,Greuther Furth,Hertha Berlin,2,1,l
301,germany,,6,2022,2022-02-12,Leverkusen,Stuttgart,4,2,l
302,germany,,6,2022,2022-02-12,Monchengladbach,FC Augsburg,3,2,l
303,italy,,6,2022,2022-02-12,Lazio,Bologna,3,0,l
304,italy,,6,2022,2022-02-12,Napoli,Inter Milan,1,1,t
305,italy,,6,2022,2022-02-12,Torino,Venezia,1,2,v
306,netherlands,,6,2022,2022-02-12,Cambuur,PEC Zwolle,3,4,v
307,netherlands,,6,2022,2022-02-12,FC Groningen,Fortuna Sittard,0,1,v
308,netherlands,,6,2022,2022-02-12,Vitesse Arnhem,PSV Eindhoven,0,5,v
309,portugal,,6,2022,2022-02-12,Benfica,Santa Clara,2,1,l
310,portugal,,6,2022,2022-02-12,Estoril,Tondela,1,0,l
311,portugal,,6,2022,2022-02-12,Portimonense,Boavista,1,1,t
312,portugal,,6,2022,2022-02-12,Sporting Braga,Pacos Ferreira,2,1,l
313,spain,,6,2022,2022-02-12,Atletico Madrid,Getafe,4,3,l
314,spain,,6,2022,2022-02-12,Cadiz,Celta Vigo,0,0,t
315,spain,,6,2022,2022-02-12,Rayo Vallecano,Osasuna,0,3,v
316,spain,,6,2022,2022-02-12,Villarreal,Real Madrid,0,0,t
317,england,,6,2022,2022-02-13,Burnley,Liverpool,0,1,v
318,england,,6,2022,2022-02-13,Leicester City,West Ham Utd,2,2,t
319,england,,6,2022,2022-02-13,Newcastle Utd,Aston Villa,1,0,l
320,england,,6,2022,2022-02-13,Tottenham,Wolverhampton,0,2,v
321,france,,6,2022,2022-02-13,Angers,Strasbourg,0,1,v
322,france,,6,2022,2022-02-13,Brest,Troyes,5,1,l
323,france,,6,2022,2022-02-13,Clermont,Saint-Etienne,1,2,v
324,france,,6,2022,2022-02-13,Lens,Bordeaux,3,2,l
325,france,,6,2022,2022-02-13,Metz,Marseille,1,2,v
326,france,,6,2022,2022-02-13,Monaco,Lorient,0,0,t
327,france,,6,2022,2022-02-13,Nantes,Reims,1,0,l
328,germany,,6,2022,2022-02-13,Hoffenheim,Bielefeld,2,0,l
329,germany,,6,2022,2022-02-13,Union Berlin,Dortmund,0,3,v
330,italy,,6,2022,2022-02-13,AC Milan,Sampdoria,1,0,l
331,italy,,6,2022,2022-02-13,Atalanta,Juventus,1,1,t
332,italy,,6,2022,2022-02-13,Empoli,Cagliari,1,1,t
333,italy,,6,2022,2022-02-13,Genoa,Salernitana,1,1,t
334,italy,,6,2022,2022-02-13,Hellas Verona,Udinese,4,0,l
335,italy,,6,2022,2022-02-13,Sassuolo,AS Roma,2,2,t
336,netherlands,,6,2022,2022-02-13,Ajax Amsterdam,FC Twente,5,0,l
337,netherlands,,6,2022,2022-02-13,Go Ahead Eagles,AZ Alkmaar,1,4,v
338,netherlands,,6,2022,2022-02-13,Heerenveen,NEC Nijmegen,0,1,v
339,netherlands,,6,2022,2022-02-13,RKC Waalwijk,Feyenoord,0,2,v
340,netherlands,,6,2022,2022-02-13,Sparta,Willem II,1,0,l
341,portugal,,6,2022,2022-02-13,Belenenses,Guimaraes,1,0,l
342,portugal,,6,2022,2022-02-13,Famalicao,Moreirense,5,0,l
343,portugal,,6,2022,2022-02-13,Vizela,Gil Vicente,0,1,v
344,spain,,6,2022,2022-02-13,Alaves,Valencia,2,1,l
345,spain,,6,2022,2022-02-13,Espanyol,FC Barcelona,2,2,t
346,spain,,6,2022,2022-02-13,Levante,Real Betis,2,4,v
347,spain,,6,2022,2022-02-13,Real Sociedad,Granada,2,0,l
348,italy,,7,2022,2022-02-14,Spezia,Fiorentina,1,2,v
349,portugal,,7,2022,2022-02-14,Arouca,Maritimo,0,3,v
350,spain,,7,2022,2022-02-14,Mallorca,Athletic Bilbao,3,2,l
351,england,,7,2022,2022-02-15,Manchester Utd,Brighton,2,0,l
352,spain,,7,2022,2022-02-16,Atletico Madrid,Levante,0,1,v
353,france,,7,2022,2022-02-18,Lille,Metz,0,0,t
354,germany,,7,2022,2022-02-18,FSV Mainz,Leverkusen,3,2,l
355,italy,,7,2022,2022-02-18,Juventus,Torino,1,1,t
356,portugal,,7,2022,2022-02-18,Boavista,Benfica,2,2,t
357,spain,,7,2022,2022-02-18,Elche,Rayo Vallecano,2,1,l
358,england,,7,2022,2022-02-19,Arsenal,Brentford,2,1,l
359,england,,7,2022,2022-02-19,Aston Villa,Watford,0,1,v
360,england,,7,2022,2022-02-19,Brighton,Burnley,0,3,v
361,england,,7,2022,2022-02-19,Crystal Palace,Chelsea,0,1,v
362,england,,7,2022,2022-02-19,Liverpool,Norwich City,3,1,l
363,england,,7,2022,2022-02-19,Manchester City,Tottenham,2,3,v
364,england,,7,2022,2022-02-19,Southampton,Everton,2,0,l
365,england,,7,2022,2022-02-19,West Ham Utd,Newcastle Utd,1,1,t
366,france,,7,2022,2022-02-19,Lens,Lyon,1,1,t
367,france,,7,2022,2022-02-19,Nantes,Paris SG,3,1,l
368,germany,,7,2022,2022-02-19,Bielefeld,Union Berlin,1,0,l
369,germany,,7,2022,2022-02-19,FC Augsburg,Freiburg,1,2,v
370,germany,,7,2022,2022-02-19,FC Koln,E. Frankfurt,1,0,l
371,germany,,7,2022,2022-02-19,Stuttgart,Bochum,1,1,t
372,germany,,7,2022,2022-02-19,Wolfsburg,Hoffenheim,1,2,v
373,italy,,7,2022,2022-02-19,AS Roma,Hellas Verona,2,2,t
374,italy,,7,2022,2022-02-19,Salernitana,AC Milan,2,2,t
375,italy,,7,2022,2022-02-19,Sampdoria,Empoli,2,0,l
376,netherlands,,7,2022,2022-02-19,AZ Alkmaar,Heracles Almelo,2,1,l
377,netherlands,,7,2022,2022-02-19,NEC Nijmegen,RKC Waalwijk,1,1,t
